연번,호선,역  명,장비,호기,승강기번호,설치위치
1,3,종로3가(3),M/W,1,1800-199,B1
2,3,종로3가(3),M/W,2,1800-200,B1
3,5,김포공항,M/W,1,1808-429,B1
4,5,김포공항,M/W,2,1808-430,B1
5,6,삼각지,M/W,1,1800-357,B3
6,6,삼각지,M/W,2,1800-358,B3
7,6,삼각지,M/W,3,1800-359,B3
8,6,삼각지,M/W,4,1800-360,B3
9,6,삼각지,M/W,5,1800-361,B3
10,6,삼각지,M/W,6,1800-695,B3
11,6,삼각지,M/W,7,1800-696,B3
12,6,삼각지,M/W,8,1800-697,B3
13,6,신당,M/W,1,1800-681,B2
14,6,신당,M/W,2,1800-682,B2
15,6,석계,M/W,1,1802-485,B2
16,6,석계,M/W,2,1802-486,B2
17,7,이수,M/W,1,1804-197,B4
18,7,이수,M/W,2,1804-198,B4
19,7,온수,M/W,1,1803-470,B1
20,7,온수,M/W,2,1803-471,B1
