연번,호선,고유역번호(외부역코드),역명,승하차구분,수송연월,승하차인원수
1,1,150,서울역,승차,2022-01,30161
2,1,150,서울역,하차,2022-01,28365
3,1,151,시청,승차,2022-01,10816
4,1,151,시청,하차,2022-01,10555
5,1,152,종각,승차,2022-01,17929
6,1,152,종각,하차,2022-01,16267
7,1,153,종로3가,승차,2022-01,32132
8,1,153,종로3가,하차,2022-01,30411
9,1,154,종로5가,승차,2022-01,25117
10,1,154,종로5가,하차,2022-01,24142
11,1,155,동대문,승차,2022-01,15834
12,1,155,동대문,하차,2022-01,15220
13,1,156,신설동,승차,2022-01,15246
14,1,156,신설동,하차,2022-01,14375
15,1,157,제기동,승차,2022-01,27264
16,1,157,제기동,하차,2022-01,28316
17,1,158,청량리(서울시립대입구),승차,2022-01,30705
18,1,158,청량리(서울시립대입구),하차,2022-01,30103
19,1,159,동묘앞,승차,2022-01,20809
20,1,159,동묘앞,하차,2022-01,20506
21,2,201,시청,승차,2022-01,8163
22,2,201,시청,하차,2022-01,7260
23,2,202,을지로입구,승차,2022-01,14606
24,2,202,을지로입구,하차,2022-01,14049
25,2,203,을지로3가,승차,2022-01,9973
26,2,203,을지로3가,하차,2022-01,9646
27,2,204,을지로4가,승차,2022-01,8849
28,2,204,을지로4가,하차,2022-01,8502
29,2,205,동대문역사문화공원(DDP),승차,2022-01,7469
30,2,205,동대문역사문화공원(DDP),하차,2022-01,7435
31,2,206,신당,승차,2022-01,11674
32,2,206,신당,하차,2022-01,11988
33,2,207,상왕십리,승차,2022-01,9950
34,2,207,상왕십리,하차,2022-01,9682
35,2,208,왕십리(성동구청),승차,2022-01,8434
36,2,208,왕십리(성동구청),하차,2022-01,6965
37,2,209,한양대,승차,2022-01,2067
38,2,209,한양대,하차,2022-01,2076
39,2,210,뚝섬,승차,2022-01,9309
40,2,210,뚝섬,하차,2022-01,9351
41,2,211,성수,승차,2022-01,23507
42,2,211,성수,하차,2022-01,23624
43,2,212,건대입구,승차,2022-01,14380
44,2,212,건대입구,하차,2022-01,15233
45,2,213,구의(광진구청),승차,2022-01,14391
46,2,213,구의(광진구청),하차,2022-01,14157
47,2,214,강변(동서울터미널),승차,2022-01,12842
48,2,214,강변(동서울터미널),하차,2022-01,12146
49,2,215,잠실나루,승차,2022-01,8431
50,2,215,잠실나루,하차,2022-01,8265
51,2,216,잠실(송파구청),승차,2022-01,25825
52,2,216,잠실(송파구청),하차,2022-01,24470
53,2,217,잠실새내,승차,2022-01,9290
54,2,217,잠실새내,하차,2022-01,9318
55,2,218,종합운동장,승차,2022-01,3820
56,2,218,종합운동장,하차,2022-01,3885
57,2,219,삼성(무역센터),승차,2022-01,15141
58,2,219,삼성(무역센터),하차,2022-01,14384
59,2,220,선릉,승차,2022-01,23851
60,2,220,선릉,하차,2022-01,20715
61,2,221,역삼,승차,2022-01,20829
62,2,221,역삼,하차,2022-01,21173
63,2,222,강남,승차,2022-01,24422
64,2,222,강남,하차,2022-01,22358
65,2,223,교대(법원.검찰청),승차,2022-01,12949
66,2,223,교대(법원.검찰청),하차,2022-01,14123
67,2,224,서초,승차,2022-01,8190
68,2,224,서초,하차,2022-01,7825
69,2,225,방배,승차,2022-01,6846
70,2,225,방배,하차,2022-01,6876
71,2,226,사당,승차,2022-01,19050
72,2,226,사당,하차,2022-01,17985
73,2,227,낙성대(강감찬),승차,2022-01,13575
74,2,227,낙성대(강감찬),하차,2022-01,13406
75,2,228,서울대입구(관악구청),승차,2022-01,23504
76,2,228,서울대입구(관악구청),하차,2022-01,22196
77,2,229,봉천,승차,2022-01,20441
78,2,229,봉천,하차,2022-01,19425
79,2,230,신림,승차,2022-01,33838
80,2,230,신림,하차,2022-01,33562
81,2,231,신대방,승차,2022-01,17594
82,2,231,신대방,하차,2022-01,17226
83,2,232,구로디지털단지,승차,2022-01,25855
84,2,232,구로디지털단지,하차,2022-01,26574
85,2,233,대림(구로구청),승차,2022-01,16168
86,2,233,대림(구로구청),하차,2022-01,16744
87,2,234,신도림,승차,2022-01,27533
88,2,234,신도림,하차,2022-01,25892
89,2,235,문래,승차,2022-01,9751
90,2,235,문래,하차,2022-01,9301
91,2,236,영등포구청,승차,2022-01,16879
92,2,236,영등포구청,하차,2022-01,16344
93,2,237,당산,승차,2022-01,8384
94,2,237,당산,하차,2022-01,9239
95,2,238,합정,승차,2022-01,10267
96,2,238,합정,하차,2022-01,10245
97,2,239,홍대입구,승차,2022-01,16213
98,2,239,홍대입구,하차,2022-01,15489
99,2,240,신촌,승차,2022-01,17076
100,2,240,신촌,하차,2022-01,15761
101,2,241,이대,승차,2022-01,6550
102,2,241,이대,하차,2022-01,7046
103,2,242,아현,승차,2022-01,8158
104,2,242,아현,하차,2022-01,7680
105,2,243,충정로(경기대입구),승차,2022-01,7467
106,2,243,충정로(경기대입구),하차,2022-01,7510
107,2,244,용답,승차,2022-01,2001
108,2,244,용답,하차,2022-01,2209
109,2,245,신답,승차,2022-01,1182
110,2,245,신답,하차,2022-01,1208
111,2,246,신설동,승차,2022-01,4627
112,2,246,신설동,하차,2022-01,4974
113,2,247,도림천,승차,2022-01,748
114,2,247,도림천,하차,2022-01,901
115,2,248,양천구청,승차,2022-01,5511
116,2,248,양천구청,하차,2022-01,5372
117,2,249,신정네거리,승차,2022-01,8970
118,2,249,신정네거리,하차,2022-01,8993
119,2,250,용두(동대문구청),승차,2022-01,2780
120,2,250,용두(동대문구청),하차,2022-01,2825
121,3,309,지축,승차,2022-01,3655
122,3,309,지축,하차,2022-01,3280
123,3,310,구파발,승차,2022-01,14200
124,3,310,구파발,하차,2022-01,13334
125,3,311,연신내,승차,2022-01,30979
126,3,311,연신내,하차,2022-01,29361
127,3,312,불광,승차,2022-01,15007
128,3,312,불광,하차,2022-01,16023
129,3,313,녹번,승차,2022-01,8967
130,3,313,녹번,하차,2022-01,8742
131,3,314,홍제,승차,2022-01,15042
132,3,314,홍제,하차,2022-01,14611
133,3,315,무악재,승차,2022-01,2772
134,3,315,무악재,하차,2022-01,2817
135,3,316,독립문,승차,2022-01,7086
136,3,316,독립문,하차,2022-01,6915
137,3,317,경복궁(정부서울청사),승차,2022-01,8696
138,3,317,경복궁(정부서울청사),하차,2022-01,8031
139,3,318,안국,승차,2022-01,8269
140,3,318,안국,하차,2022-01,8600
141,3,319,종로3가,승차,2022-01,8127
142,3,319,종로3가,하차,2022-01,9209
143,3,320,을지로3가,승차,2022-01,5711
144,3,320,을지로3가,하차,2022-01,5659
145,3,322,동대입구,승차,2022-01,3604
146,3,322,동대입구,하차,2022-01,3665
147,3,323,약수,승차,2022-01,9511
148,3,323,약수,하차,2022-01,8998
149,3,324,금호,승차,2022-01,5028
150,3,324,금호,하차,2022-01,4610
151,3,325,옥수,승차,2022-01,4846
152,3,325,옥수,하차,2022-01,4859
153,3,326,압구정,승차,2022-01,11751
154,3,326,압구정,하차,2022-01,11632
155,3,327,신사,승차,2022-01,8894
156,3,327,신사,하차,2022-01,8586
157,3,328,잠원,승차,2022-01,2490
158,3,328,잠원,하차,2022-01,2325
159,3,329,고속터미널,승차,2022-01,18450
160,3,329,고속터미널,하차,2022-01,18098
161,3,330,교대(법원.검찰청),승차,2022-01,5863
162,3,330,교대(법원.검찰청),하차,2022-01,3748
163,3,331,남부터미널(예술의전당),승차,2022-01,12784
164,3,331,남부터미널(예술의전당),하차,2022-01,12787
165,3,332,양재(서초구청),승차,2022-01,15903
166,3,332,양재(서초구청),하차,2022-01,16017
167,3,333,매봉,승차,2022-01,5534
168,3,333,매봉,하차,2022-01,4934
169,3,334,도곡,승차,2022-01,2045
170,3,334,도곡,하차,2022-01,1689
171,3,335,대치,승차,2022-01,4286
172,3,335,대치,하차,2022-01,4106
173,3,336,학여울,승차,2022-01,1354
174,3,336,학여울,하차,2022-01,1173
175,3,337,대청,승차,2022-01,7839
176,3,337,대청,하차,2022-01,7331
177,3,338,일원,승차,2022-01,7276
178,3,338,일원,하차,2022-01,6784
179,3,339,수서,승차,2022-01,17750
180,3,339,수서,하차,2022-01,16635
181,3,340,가락시장,승차,2022-01,6980
182,3,340,가락시장,하차,2022-01,6778
183,3,341,경찰병원,승차,2022-01,4487
184,3,341,경찰병원,하차,2022-01,4391
185,3,342,오금,승차,2022-01,3620
